transaction_id,date,amount,category,description,income_level,monthly_income,age,existing_savings,debt_to_income,day_of_month,month,is_weekend,is_month_start,is_month_end,is_recurring,seasonal_multiplier,prev_month_expenses,prev_month_savings,expense_frequency,description_keywords
TXN_000000,2025-12-15,169.15,Entertainment,entertainment_transaction_0,High,11579.21,39,1344.7,0.1437,27,12,0,0,1,0,1.5,5207.73,6371.48,4,5
TXN_000001,2025-07-12,74.24,Entertainment,entertainment_transaction_1,Medium,5061.11,38,6060.63,0.0117,12,7,1,0,0,0,1.4,3529.52,1531.59,4,3
TXN_000002,2025-12-26,53.96,Transport,transport_transaction_2,Low,1964.74,27,8849.8,0.179,26,12,0,0,1,1,0.8,1029.54,935.2,12,2
TXN_000003,2025-07-07,28.41,Others,others_transaction_3,Medium,4218.47,28,1870.45,0.1679,27,7,0,0,1,1,1.0,2231.83,1986.64,2,6
TXN_000004,2025-04-09,68.33,Transport,transport_transaction_4,High,10467.79,31,14253.26,0.0042,9,4,0,0,0,1,1.0,5712.87,4754.93,12,3
TXN_000005,2025-05-23,187.39,Shopping,shopping_transaction_5,Medium,5146.53,23,6276.6,0.1726,3,5,0,1,0,1,1.0,3023.82,2122.71,4,4
TXN_000006,2025-08-23,551.77,Travel,travel_transaction_6,Low,1866.79,49,2730.93,0.0395,23,8,1,0,0,0,1.5,1338.46,528.33,1,7
TXN_000007,2025-05-10,220.92,Shopping,shopping_transaction_7,Medium,3750.62,23,2078.93,0.1791,10,5,1,0,0,1,1.0,2787.86,962.76,5,4
TXN_000008,2025-07-06,24.16,Food,food_transaction_8,Low,1689.87,49,341.76,0.0977,6,7,1,0,0,1,1.0,842.16,847.71,14,4
TXN_000009,2025-05-24,66.74,Transport,transport_transaction_9,Low,1711.99,52,4126.47,0.1349,24,5,1,0,0,1,1.0,716.89,995.1,16,3
TXN_000010,2025-12-04,29.06,Others,others_transaction_10,Low,2231.72,25,8444.63,0.1138,28,12,0,0,1,0,1.1,1143.93,1087.79,7,3
TXN_000011,2025-10-04,78.55,Entertainment,entertainment_transaction_11,Medium,5739.92,34,59835.65,0.0296,25,10,1,0,1,0,1.0,2453.29,3286.63,5,3
TXN_000012,2025-09-10,55.73,Food,food_transaction_12,High,10630.07,41,4982.41,0.0325,10,9,0,0,0,1,1.0,6735.19,3894.88,11,2
TXN_000013,2025-01-26,71.36,Transport,transport_transaction_13,Medium,5285.45,63,16793.12,0.0828,26,1,1,0,1,0,1.0,2213.73,3071.71,20,2
TXN_000014,2025-12-13,142.6,Shopping,shopping_transaction_14,Medium,5274.79,21,19467.2,0.1695,28,12,1,0,1,0,1.8,3569.52,1705.27,3,8
TXN_000015,2025-05-07,28.0,Food,food_transaction_15,Low,2353.09,57,12835.86,0.076,7,5,0,0,0,1,1.0,696.64,1656.45,9,4
TXN_000016,2025-08-26,23.69,Food,food_transaction_16,Medium,4352.53,47,9133.13,0.0893,2,8,0,1,0,1,1.0,3032.45,1320.08,11,3
TXN_000017,2025-06-09,25.88,Food,food_transaction_17,Medium,5343.42,20,18351.16,0.0438,9,6,0,0,0,1,1.0,2444.8,2898.63,14,5
TXN_000018,2025-04-05,64.04,Entertainment,entertainment_transaction_18,High,9909.92,53,3871.48,0.1582,5,3,1,1,0,0,1.0,6664.01,3245.91,6,6
TXN_000019,2025-01-18,56.97,Entertainment,entertainment_transaction_19,Medium,4705.17,53,102.54,0.1629,18,1,1,0,0,0,1.0,760.22,3944.95,4,7
